DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
2952,14.755,NaN,NaN,NaN,NaN,NaN,NaN,77.43135,-1581.56018,171.13269,-1251.06702,150.04079,-1230.04333,262.5936,-1266.89148
2953,14.76,NaN,NaN,NaN,NaN,NaN,NaN,77.30281,-1580.43689,172.25674,-1251.40588,150.98297,-1230.18018,263.52423,-1267.66516
2954,14.765,NaN,NaN,NaN,NaN,NaN,NaN,76.83972,-1579.12927,173.28708,-1251.71069,152.31862,-1230.43433,264.55865,-1268.28674
2955,14.77,NaN,NaN,NaN,NaN,NaN,NaN,76.56647,-1577.93872,174.28706,-1252.08423,153.4252,-1230.50171,265.26227,-1268.87927
2956,14.775,NaN,NaN,NaN,NaN,NaN,NaN,76.63858,-1576.95862,175.26071,-1252.39783,154.51018,-1230.53516,266.30441,-1269.90796
2957,14.78,NaN,NaN,NaN,NaN,NaN,NaN,76.32562,-1575.75012,176.21164,-1252.69751,155.3728,-1230.48608,267.24298,-1270.57874
2958,14.785,NaN,NaN,NaN,NaN,NaN,NaN,75.81911,-1574.47595,177.13603,-1252.94653,156.61293,-1230.67993,268.04416,-1271.20325
2959,14.79,NaN,NaN,NaN,NaN,NaN,NaN,75.03132,-1572.84607,178.10278,-1253.17737,157.60393,-1230.79004,268.69708,-1271.80115
2960,14.795,NaN,NaN,NaN,NaN,NaN,NaN,74.88504,-1571.75391,179.03131,-1253.40674,158.38966,-1230.80933,269.78073,-1272.37244
2961,14.8,NaN,NaN,NaN,NaN,NaN,NaN,74.68979,-1570.54626,179.92699,-1253.64246,159.44554,-1230.88818,270.49362,-1272.86267
2962,14.805,NaN,NaN,NaN,NaN,NaN,NaN,74.67741,-1569.52148,180.94344,-1253.85535,160.65842,-1231.02063,271.49948,-1273.34033
2963,14.81,NaN,NaN,NaN,NaN,NaN,NaN,74.46043,-1568.36926,181.81538,-1254.06934,161.46907,-1231.08765,272.37308,-1273.69531
2964,14.815,NaN,NaN,NaN,NaN,NaN,NaN,73.95955,-1567.0697,182.84665,-1254.16321,162.35962,-1231.13184,273.25681,-1273.99512
2965,14.82,NaN,NaN,NaN,NaN,NaN,NaN,73.95209,-1565.98438,183.8607,-1254.24463,163.42619,-1231.3186,274.33447,-1274.29883
2966,14.825,NaN,NaN,NaN,NaN,NaN,NaN,73.84644,-1564.93774,184.76907,-1254.41956,164.19742,-1231.39392,275.06369,-1274.44568
