Frame,Time,Drone_Angle,Speaker_Angle
278,1.847,82.64459586,35.23432191
279,1.853,82.70941716,34.82669091
280,1.86,82.88888986,34.35112141
281,1.867,82.57930488,33.87555191
282,1.873,82.77686942,33.46792091
283,1.88,83.04682374,32.99235142
284,1.887,82.80613009,32.51678192
285,1.893,82.72555241,32.10915092
286,1.9,82.71407872,31.63358142
287,1.907,82.48263895,31.15801192
288,1.913,82.69800807,30.75038093
289,1.92,82.81650493,30.27481143
290,1.927,82.53375627,29.79924193
291,1.933,82.86488391,29.39161093
292,1.94,82.89838314,28.91604143
293,1.947,82.61975855,28.44047194
294,1.953,82.6885695,28.03284094
295,1.96,82.73041662,27.55727144
296,1.967,82.67250852,27.08170194
297,1.973,82.99989409,26.67407094
298,1.98,82.74197919,26.19850145
299,1.987,82.74031254,25.72293195
300,1.993,82.68485583,25.31530095
301,2,82.90001709,24.83973145
302,2.007,82.67218918,24.36416195
303,2.013,82.55808979,23.95653096
304,2.02,82.63637466,23.48096146
305,2.027,82.62434966,23.00539196
306,2.033,82.41721584,22.59776096
307,2.04,82.52423184,22.12219147
308,2.047,82.68972641,21.64662197
309,2.053,82.73631695,21.23899097
310,2.06,82.9482822,20.76342147
311,2.067,82.55548644,20.28785197
312,2.073,82.73311863,19.88022098
313,2.08,82.63905777,19.40465148
314,2.087,83.06893022,18.92908198
315,2.093,82.85992946,18.52145098
316,2.1,82.87178647,18.04588148
317,2.107,82.84464167,17.57031199
318,2.113,82.51839643,17.16268099
319,2.12,82.97615398,16.68711149
320,2.127,82.53430596,16.21154199
321,2.133,82.67435322,15.80391099
322,2.14,82.91324927,16.0258239
323,2.147,82.72785879,16.10886529
324,2.153,82.83199159,16.11152516
325,2.16,82.69136007,16.09040491
326,2.167,82.70848291,16.23710516
327,2.173,82.77019412,16.50084096
328,2.18,82.76212683,16.59146312
329,2.187,82.938636,16.60984532
330,2.193,82.70137724,16.63317754
331,2.2,82.70453944,16.63996753
332,2.207,82.98772664,16.6590936
333,2.213,83.07575038,16.70048418
334,2.22,82.75370018,16.79903925
335,2.227,82.91194179,16.8975966
336,2.233,82.87813589,17.01367308
337,2.24,82.84457981,17.15935374
338,2.247,83.03736976,17.24741125
339,2.253,82.77142592,17.30961852
340,2.26,82.93759222,17.32014923
341,2.267,83.13474132,17.26376236
342,2.273,83.06373187,17.15412585
343,2.28,83.10927467,17.035745
344,2.287,82.90256239,16.89961014
345,2.293,83.07905384,16.72869799
346,2.3,82.86875232,16.57337369
347,2.307,83.28271213,16.41753362
348,2.313,83.21455922,16.30839106
349,2.32,82.88481248,16.25699658
350,2.327,83.08222789,16.27516446
351,2.333,82.8696449,16.30951875
352,2.34,83.10330538,16.37600642
353,2.347,82.96379257,16.50499641
354,2.353,82.85476966,16.57837041
355,2.36,83.01863089,16.66279014
356,2.367,83.12632857,16.72935663
357,2.373,83.26138503,16.80091638
358,2.38,82.94510389,16.83523024
359,2.387,83.24680921,16.85983201
360,2.393,82.97553306,16.859123
361,2.4,83.18994597,16.84176762
362,2.407,82.99657412,16.79393916
363,2.413,83.28639938,16.77301178
364,2.42,83.08531642,16.75067456
365,2.427,83.04206705,16.73352859
366,2.433,83.18181856,16.67497639
367,2.44,83.27593759,16.60036853
368,2.447,82.94838842,16.53922354
369,2.453,83.19046322,16.49488675
370,2.46,83.14851977,16.49648503
371,2.467,83.31370922,16.51504527
372,2.473,83.2375962,16.53081399
373,2.48,83.80333879,16.5491736
374,2.487,83.40394403,16.59736028
375,2.493,83.62165558,16.63734275
376,2.5,83.59950764,16.65724862
377,2.507,83.65831018,16.69862486
378,2.513,83.39127149,16.74328167
379,2.52,83.65083948,16.80767066
380,2.527,83.78651184,16.87099239
381,2.533,83.72129355,16.96003827
382,2.54,83.60090354,17.03116368
383,2.547,83.76165976,17.10605064
384,2.553,83.5851659,17.14634759
385,2.56,83.85276385,17.1764915
386,2.567,83.74728249,17.19346595
387,2.573,84.03447819,17.21163249
388,2.58,83.63286101,17.21254307
389,2.587,83.7810928,17.20526989
390,2.593,83.51229424,17.19807181
391,2.6,83.98689095,17.19452045
392,2.607,83.76935455,17.19544322
393,2.613,83.9811452,17.19727291
394,2.62,83.97324325,17.19876101
395,2.627,84.10468974,17.24253092
396,2.633,83.98003531,17.23343559
397,2.64,84.01101804,17.2739865
398,2.647,84.32203148,17.26750831
399,2.653,84.12315378,17.25767763
400,2.66,84.2232394,17.2402505
401,2.667,83.78292626,17.21004414
402,2.673,84.08547143,17.21599305
403,2.68,84.07328681,17.29658488
404,2.687,84.16414188,17.3744105
405,2.693,84.00934367,17.47654755
406,2.7,84.0744174,17.58758551
407,2.707,84.20566187,17.68377725
408,2.713,83.92351248,17.81002419
409,2.72,84.05704211,17.91374193
410,2.727,83.8785692,18.018414
411,2.733,84.53647784,18.10956839
412,2.74,84.02217135,18.16856933
413,2.747,84.42969532,18.22699784
414,2.753,84.00956451,18.27864739
415,2.76,84.29881734,18.30515554
416,2.767,84.44452436,18.31339374
417,2.773,84.65411241,18.28699695
418,2.78,84.41361088,18.19938353
419,2.787,84.58059686,18.00917431
420,2.793,84.34977798,17.81785668
421,2.8,85.00890727,17.55638981
422,2.807,84.41218233,17.37073585
423,2.813,84.69512687,17.21615059
424,2.82,84.50255677,17.13215022
425,2.827,84.52298009,17.02866145
426,2.833,84.82565367,16.92157958
427,2.84,84.64304706,16.82666338
428,2.847,84.69181933,16.81526064
429,2.853,84.61164807,16.85034247
430,2.86,84.76992706,16.90636716
431,2.867,84.55723726,17.01447458
432,2.873,84.86314672,16.96338858
433,2.88,84.81158289,16.98857495
434,2.887,85.11697354,17.01525839
435,2.893,84.56987739,16.9734607
436,2.9,84.93324311,16.85887921
437,2.907,84.64699828,16.71610419
438,2.913,84.96049797,16.6366321
439,2.92,84.68054378,16.56574344
440,2.927,84.97944113,16.47437121
441,2.933,85.1317816,16.39388987
442,2.94,85.06776456,16.28360545
443,2.947,85.39944909,16.22469443
444,2.953,85.56669648,16.19653469
445,2.96,85.35212438,16.17766015
446,2.967,85.41067988,16.1986424
447,2.973,85.59175668,16.23665145
448,2.98,85.63931506,16.28739256
449,2.987,85.63661369,16.31968785
450,2.993,85.54751747,16.38997415
451,3,85.6373093,16.50734328
452,3.007,85.53846558,16.62199199
453,3.013,85.51453406,16.78804597
454,3.02,85.84463959,16.98646523
455,3.027,85.45883601,17.22663447
456,3.033,85.87218528,17.42198694
457,3.04,85.74741265,17.63623041
458,3.047,85.83758798,17.70954775
459,3.053,85.94537694,18.01148005
460,3.06,86.01914951,18.15384138
461,3.067,86.27574451,18.33805671
462,3.073,85.90203049,18.49471847
463,3.08,86.16921026,18.67331276
464,3.087,86.15818533,18.8070576
465,3.093,86.10512277,18.95757964
466,3.1,86.30339961,19.12948754
467,3.107,86.25798512,19.33680775
468,3.113,86.4982102,19.53735957
469,3.12,86.5483369,19.70049977
470,3.127,86.28266802,19.86232102
471,3.133,86.37503286,20.01999551
472,3.14,86.3763579,20.14931269
473,3.147,86.37421629,20.33728636
474,3.153,86.65184297,20.51630476
475,3.16,86.60584953,20.71427315
476,3.167,86.46531237,20.81541156
477,3.173,86.734646,20.88010196
478,3.18,86.79408885,20.91702669
479,3.187,86.76089762,20.95963411
480,3.193,86.85335502,20.96957505
481,3.2,86.8110971,21.0062721
482,3.207,86.72868159,21.06791278
483,3.213,86.86153567,21.14008862
484,3.22,87.15452718,21.24335913
485,3.227,87.0221843,21.28728642
486,3.233,86.97764027,21.35583832
487,3.24,87.02376646,21.42971986
488,3.247,87.06986135,21.48493133
489,3.253,87.0170493,21.55563587
490,3.26,87.31702528,21.66657917
491,3.267,87.24019339,21.81617663
492,3.273,87.14165409,21.92964854
493,3.28,86.92599284,22.11689638
494,3.287,87.06921543,22.26584786
495,3.293,87.22153067,22.42850593
496,3.3,87.13150924,22.53686764
497,3.307,87.41743081,22.69482837
498,3.313,87.39105517,22.88112083
499,3.32,87.27139475,23.09808875
500,3.327,87.40154844,23.30010658
501,3.333,87.39805365,23.5396943
502,3.34,87.24642331,23.76941755
503,3.347,87.41770668,24.04567666
504,3.353,87.25654247,24.33406371
505,3.36,87.40258704,24.64357067
506,3.367,87.59956694,24.90647565
507,3.373,87.65576645,25.18773513
508,3.38,87.50177911,25.44423802
509,3.387,87.68531499,25.6545912
